S2_0min_R1	S2_0min_R2	S2_2.5min_R2	S2_5min_R1	S2_5min_R2	S2_10min_R1	S2_10min_R2	S2_20min_R1	S2_20min_R2
2638.79578429849	1734.62251561337	2206.0611940634	1684.31034226121	1515.9721509744	1353.38925249742	728.605669038508	712	590.176497761134
2415.6926027436	1605.06042779018	2150.72764596148	1780.14335153641	1571.85643740587	1275.91608680675	726.712203162628	745	682.354165768451
526.523508469548	420.133372164515	129.596994238708	96.7370942683574	138.380137830314	109.036307268343	109.063634450671	84	66.4397477195597
140.726622211548	94.9702682587451	83.0003221528803	64.1900345145175	72.7382775774725	41.1277299345505	28.7806813133714	20	20.949470001663
216.238468276281	120.127955214704	143.430381264188	104.873859206817	86.0440600611565	65.9956596624182	38.6267038679458	23	22.1465825731866
2628.49871438057	1705.06223344012	2116.50821489845	2208.6796382953	1968.36875541965	1922.48225973131	1187.20310417657	1131	1090.569552658
1221.91896359295	692.465333462771	1081.18840699147	1011.67110734852	759.316653735567	686.737444023424	332.492607804475	449	383.076022887552
1475.9133549016	907.56355693622	1183.11862717921	1092.13467173996	1003.25599926977	875.159834653806	564.631524187326	508	535.109319471049
473.665216224235	279.250325211145	356.027697655776	386.044292080267	425.785039477888	376.844781260765	262.434370396926	260	238.823958018958
1367.45088509953	966.055179108824	1181.66248117653	1034.27323217758	1155.82897174935	900.984223217361	769.504531957509	589	524.335306327336
2145.90937089414	1315.74702779665	1668.7433190737	1577.62831306807	1390.89779562777	1586.7652084051	930.449131407284	974	958.887169790403
199.076685079751	125.788434779795	39.315942072417	28.0266347880288	22.1763041394733	22.9550120564933	10.2247157297504	11	13.1682382867596
56.2906488846192	40.8812413034333	11.6491680214569	10.8490199179466	12.4187303181051	18.1727178780572	12.8755679559819	3	8.97834428642699
1151.89888815111	864.166546937191	673.467526240476	552.395930822115	583.680324950938	373.018945918016	287.806813133714	250	205.304806016297
1151.21241682325	864.166546937191	673.467526240476	552.395930822115	582.793272785359	372.062487082329	287.806813133714	250	204.706249730535
200.449627735473	113.838533475714	100.474074185066	80.4635643914374	74.5123819086304	61.2133654839821	31.431533539603	32	22.1465825731866
2329.19721543308	1686.82291039705	1662.19066206163	1156.32470625448	1138.08792843777	621.698243196693	419.213344919765	318	298.081030309376
1891.91497958549	1112.59870562729	1239.90832128382	1064.10803695193	835.603139975355	581.52697209783	294.623290286881	297	240.619626876243
