gene	cluster
NM_001043192.3	3
NM_141190.3	3
NM_001144530.2	1
NM_164345.3	2
NM_169014.3	1
NM_141248.4	4
NM_141268.3	3
NM_169060.2	2
NM_057424.4	4
NM_169192.3	2
NM_079549.3	4
NM_169221.3	2
NM_169231.2	3
NM_001260062.2	4
NR_125120.1	1
NM_001275471.1	2
NM_001275472.1	3
NM_001031990.4	3
NM_001043227.2	2
NM_001202273.2	1
NM_001202271.2	2
NM_001144557.2	1
NM_001144559.2	3
NR_125127.1	4
NR_048359.2	3
NM_143815.4	3
NM_169337.2	3
NM_079578.3	3
NM_001260095.2	3
NM_001260106.2	1
NM_001144563.2	1
NM_079587.3	2
NM_144369.3	1
NM_001104277.2	2
NM_169377.2	4
NM_141829.3	3
NM_001043241.3	3
NM_141885.3	4
NM_176479.2	1
NM_141946.3	4
NM_001275602.1	1
NM_169504.3	3
NM_169510.3	3
NM_001104305.3	2
NM_001316497.1	2
NM_001260168.1	1
NM_001104323.3	3
NM_079632.6	4
NM_001275657.1	4
NM_169626.2	4
NM_176504.2	1
NM_142224.2	4
NM_142237.3	1
NM_169693.2	4
NM_169697.3	3
NM_001260203.1	2
NM_079654.3	2
NR_125181.1	3
NM_169709.2	2
NM_142327.3	3
NM_001014629.2	3
NM_001275760.1	1
NM_001275780.1	2
NM_169823.2	4
NM_142504.4	4
NM_001104363.2	4
NM_169841.2	3
NM_079679.3	1
NM_001043257.2	2
NM_001043262.2	2
NM_142585.3	1
NM_001260274.2	3
NM_169902.2	3
NM_001275851.1	3
NM_142663.4	3
NM_142672.3	1
NM_169937.3	2
NM_001275868.1	4
NM_169948.3	3
NM_169950.3	1
NR_002067.3	4
NM_169992.3	2
NM_001260304.2	2
NM_170004.2	3
NM_001202337.2	1
NM_142825.4	3
NM_001202341.1	3
NM_170087.2	4
NM_001260338.2	3
NM_170120.2	4
NM_001275979.1	3
NM_001260358.2	2
NM_001043290.2	1
NM_143995.4	2
NM_001260374.2	2
NM_079785.4	4
NM_170259.4	3
NM_143213.4	1
NM_143224.4	1
NM_170287.3	1
NM_079795.3	3
NM_079798.3	4
NM_001104469.3	2
NM_001276074.1	2
NM_143286.3	2
NM_143344.3	3
NM_170370.2	2
NM_170373.2	3
NM_001144646.2	4
NM_001276118.1	4
NM_001014678.3	2
NM_143413.2	1
NM_143421.3	1
NM_143789.3	1
NR_037768.1	3
NM_143743.3	4
NM_001202380.2	2
NM_001032408.3	4
NM_001032406.2	3
NM_170448.2	2
NM_079853.4	2
NM_080063.4	4
NM_001276176.1	3
NM_143540.2	1
NM_170492.2	2
NM_057502.5	2
NM_001276195.1	3
NM_079862.3	3
NM_001382071.1	2
NM_001276210.1	2
NM_080172.4	2
NM_170567.3	2
NM_001259972.2	3
NM_001300229.1	3
NM_001259992.2	2
NM_001316565.1	3
NM_001043214.2	2
NM_001275366.1	4
NM_001202253.2	4
NM_001144543.3	2
NM_079533.4	1
NM_169187.3	2
NM_079535.3	3
NM_079537.4	2
NM_001104235.2	3
NM_001275427.1	4
NM_001275461.2	4
NM_057349.7	1
NM_170646.6	3
NM_057304.5	4
NM_206466.1	4
NM_001275475.1	3
NM_169260.4	2
NM_001275482.1	1
NM_079568.3	1
NM_001170099.3	1
NM_001275501.1	4
NM_001300328.1	2
NM_001144561.2	2
NM_169336.4	1
NM_001275530.1	3
NM_079579.3	2
NM_141778.2	3
NM_001104274.2	1
NM_079590.3	2
NM_001170116.2	2
NM_001032005.2	4
NM_001275546.1	4
NM_141840.1	2
NM_169418.3	2
NM_143729.3	4
NM_141881.2	2
NM_079600.3	3
NM_141906.4	2
NM_001038953.2	2
NM_001363930.1	2
NM_169469.2	4
NM_001275580.1	3
NM_001275587.1	2
NM_141999.3	2
NM_142030.4	3
NR_048380.1	3
NM_142069.4	3
NM_001104316.2	2
NM_001032403.2	3
NM_001300400.1	2
NM_001275648.1	2
NM_001300404.1	3
NM_001202293.3	3
NM_142165.3	2
NM_080215.4	2
NM_001275669.1	3
NM_206496.2	1
NM_169676.2	3
NM_079645.4	1
NM_079653.3	3
NM_142271.3	1
NM_001275697.1	3
NM_079659.4	3
NM_001202309.1	2
NM_169810.2	2
NM_142465.2	3
NM_206513.2	3
NM_142493.3	2
NM_001260262.2	2
NM_142528.3	3
NM_142562.3	3
NM_001275807.1	2
NM_001275808.1	2
NM_001300482.1	3
NM_001275821.1	1
NM_001014643.2	3
NM_142661.3	4
NM_001300514.1	3
NM_163881.2	4
NM_079712.6	1
NM_001144621.3	1
NM_079719.3	3
NM_001260308.1	4
NM_176537.2	2
NM_001260312.2	4
NM_142859.3	3
NM_001260329.2	1
NM_001275943.1	3
NM_079737.3	2
NM_170651.4	2
NM_142904.4	2
NM_001144629.3	1
NM_142930.3	4
NR_002078.1	4
NM_001104420.3	1
NM_079746.6	3
NM_170109.2	4
NM_079750.4	4
NM_001202347.2	3
NM_079754.4	2
NM_143012.3	2
NM_001300576.1	2
NM_143014.3	4
NM_001276001.1	2
NM_170212.3	4
NM_143123.5	4
NM_001104448.2	2
NM_143130.4	1
NM_001276025.1	1
NM_001104456.2	2
NM_079781.3	4
NM_170263.4	4
NM_001260388.1	1
NM_143252.4	3
NM_170304.2	2
NM_001104472.2	1
NM_143276.3	1
NM_001170286.3	3
NM_170366.4	4
NM_001170289.2	2
NM_001276121.1	1
NM_143387.2	2
NM_079823.4	4
NM_001276137.1	4
NM_143437.3	3
NM_170442.2	4
NM_001276166.1	2
NM_176588.2	3
NM_143524.4	3
NM_001260438.2	3
NM_001260437.1	4
NM_001276178.1	2
NM_143550.3	2
NM_001260453.1	4
NR_048523.1	4
NM_170556.3	4
NM_001300695.1	4
NM_057413.4	4
NM_166808.3	3
NM_001297786.2	4
NM_166788.2	3
NM_001258500.1	3
